"","initial_value"
"DHX34",0.56
"ST18",0.36
"ULK2",0.52
"PCDHGA8",0.23
"HERPUD1",0.8
"KIAA0355",0.66
"RUBCN",0.6
"USP6NL",0.7
"FAM131B",0.34
"AQR",0.67
"SEC14L5",0.54
"ECE2",0.45
"ADAMTSL2",0.33
"CCDC144A",0.23
"GPRIN2",0.33
"NOS1AP",0.37
"SEMA3E",0.49
"UTP14C",0.58
"TMEM63A",0.75
"ZNF646",0.4
"RAB11FIP3",0.53
"SECISBP2L",0.71
"KIAA0408",0.29
"VPRBP",0.77
"CEP104",0.56
"DOCK4",0.76
"SART3",0.79
"HDAC9",0.7
"KNTC1",0.85
"USP34",0.78
"GPRASP1",0.54
"CCP110",0.48
"SETD1A",0.33
"LAPTM4A",0.68
"IFT140",0.57
"ARHGAP32",0.59
"ACAP1",0.48
"ZNF536",0.53
"CLSTN3",0.4
"TCAF1",0.69
"SLK",0.75
"PHACTR2",0.8
"FAM65B",0.46
"SNPH",0.55
"PCDHA9",0.38
"ZSCAN12",0.39
"STARD8",0.49
"TBKBP1",0.34
"KMT2B",0.62
"FRMPD4",0.42
"HDAC4",0.7
"TOX",0.64
"MLEC",0.76
"LZTS3",0.49
"KIAA0513",0.61
"ZFYVE16",0.51
"SUSD6",0.74
"JADE3",0.64
"KIAA0101",0.88
"RASSF2",0.73
"RAPGEF5",0.72
"TMEM94",0.51
"BCLAF1",0.78
"EIF4A3",0.76
"ATG13",0.34
"TM9SF4",0.66
"KIAA0232",0.69
"TBC1D5",0.8
"PIEZO1",0.61
"RNF144A",0.67
"MATR3",0.68
"RIMS3",0.74
"SNX17",0.57
"DHX38",0.6
"KIAA0586",0.58
"DLGAP5",0.94
"MTSS1",0.74
"SPCS2",0.61
"BMS1",0.68
"PTDSS1",0.86
"SERTAD2",0.75
"CKAP5",0.91
"MAML1",0.67
"PHYHIP",0.43
"TATDN2",0.6
"IST1",0.62
"MRPL19",0.78
"DAZAP2",0.72
"TOMM20",0.77
"SCRN1",0.61
"SPOCK2",0.54
"IP6K1",0.46
"KIAA0087",0.31
"RNF40",0.68
"CTIF",0.63
"KIAA0141",0.81
"EFCAB14",0.81
"SFI1",0.45
"GIT2",0.56
"URB2",0.76
"KEAP1",0.75
"NUP58",0.85
"TSC22D2",0.71
"CUL7",0.69
"RB1CC1",0.84
"ARMCX2",0.54
"ARHGAP11A",0.81
"SPATA2",0.53
"ARHGEF11",0.7
"RGP1",0.5
"ARHGEF17",0.66
"DNAJC6",0.64
"TRIM14",0.62
"ZNF623",0.47
"JAKMIP2",0.6
"MELK",0.88
"KIAA0125",0.29
"LCMT2",0.51
"GINS1",0.93
"ZEB2",0.75
"TESPA1",0.47
"ZBTB24",0.66
"PLEKHM1",0.46
"HEPH",0.64
"ELMO1",0.63
"GAB2",0.7
"C2CD5",0.75
"MFAP3L",0.56
"ZNF518A",0.62
"KIAA0753",0.59
"EPM2AIP1",0.82
"RUSC2",0.58
"C2CD2L",0.65
"FARP2",0.65
"KIAA0319",0.48
"CEP350",0.71
"PPP1R26",0.67
"CEP170",0.78
"LRIG2",0.48
"PSMD6",0.74
"MED24",0.61
"MAGI2",0.65
"TRIL",0.59
"TRIM66",0.51
"PJA2",0.71
"TOMM70A",0.66
"SETDB1",0.61
"AREL1",0.61
"SEC24D",0.67
"FCHSD2",0.68
"TLK1",0.67
"URB1",0.65
"ZC3H11A",0.78
"TOX4",0.75
"DDX46",0.74
"ZBTB39",0.55
"TRANK1",0.56
"TBC1D4",0.72
"POM121",0.55
"LRRC37A",0.32
"OSBPL2",0.56
"RHOBTB1",0.59
"SMG7",0.61
"ZBED4",0.65
"PLPPR4",0.48
"NUAK1",0.83
"SNAP91",0.28
"TELO2",0.54
"TECPR2",0.55
"FIG4",0.63
"KIAA0196",0.71
"UBAP2L",0.74
"SV2B",0.54
"SV2A",0.56
"SRGAP3",0.68
"MRC2",0.7
"KLHL21",0.76
"RBM19",0.57
"SGSM2",0.6
"SLC35E2",0.54
"AP5Z1",0.55
"G3BP2",0.75
"DENND4B",0.44
"RABGAP1L",0.58
"TMCC2",0.53
"ARHGAP44",0.56
"SUPT7L",0.66
"ATP2C2",0.64
"ARNT2",0.55
"FAM20B",0.67
"NCAPD2",0.93
"SEC16A",0.68
"KBTBD11",0.49
"RNF10",0.63
"IQSEC1",0.76
"ZBTB40",0.61
"PAN2",0.62
"ZBTB5",0.78
"LPGAT1",0.63
"MFN2",0.63
"KIF14",0.94
"JOSD1",0.58
"HELZ",0.77
"PUM3",0.65
"P2RY14",0.48
"MAFB",0.8
"CD302",0.72
"DCLRE1A",0.59
"ARHGAP25",0.79
"RBM8A",0.9
"DLEC1",0.39
"EXOG",0.52
"XYLB",0.32
"OXSR1",0.65
"GFPT2",0.65
"CRYZL1",0.79
"MAGEC1",0.41
"WDR1",0.79
"AMMECR1",0.63
"GOLGA5",0.6
"HS3ST4",0.48
"HS3ST3B1",0.7
"HS3ST3A1",0.48
"HS3ST2",0.44
"HS3ST1",0.58
"USP15",0.68
"USP12P1",0.22
"USP3",0.74
"MVP",0.71
"SLC23A2",0.74
"SLC23A1",0.53
"FGF19",0.5
"TNFSF15",0.31
"THRAP3",0.64
"MED12",0.67
"MED13",0.78
"NR1I3",0.25
"NR1H4",0.56
"NUP153",0.77
"CCS",0.62
"NR1D2",0.83
"CLEC2B",0.76
"RBX1",0.78
"DOPEY2",0.5
"FGFBP1",0.73
"THOC1",0.61
"REC8",0.59
"RCE1",0.55
"HNRNPDL",0.67
"DMTF1",0.58
"PPP4R1",0.75
"SLC12A6",0.76
"PTBP3",0.83
"KCNE2",0.25
"DGCR2",0.66
"CASP8AP2",0.64
"SCO2",0.65
"AKT3",0.74
"MED6",0.78
"NR2E3",0.46
"NAALAD2",0.57
"NAALADL1",0.66
"ACOT8",0.62
"ABI1",0.81
"GNPDA1",0.6
"KCNE3",0.66
"ZBTB33",0.73
"TANK",0.74
"SRA1",0.73
"HDAC6",0.57
"HDAC5",0.78
"PDCD6IP",0.83
"PDCD6",0.64
"BCL2L10",0.46
"BCL2L11",0.8
"SH2B3",0.8
"GNE",0.61
"HCN4",0.33
"INSL5",0.31
"FRAT1",0.57
"TROAP",0.87
"MED16",0.52
"PIGK",0.82
"CHAF1A",0.87
"PARP2",0.89
"PARP3",0.57
"TOM1L1",0.67
"HMGXB4",0.69
"TOM1",0.47
"SH2D3C",0.58
"SH2D3A",0.6
"MAMLD1",0.51
"CST8",0.26
"RANBP9",0.77
"DNAJB6",0.79
"SLC17A4",0.24
"SMC4",0.92
"GJC1",0.78
"AP1M2",0.75
"UBA2",0.79
"SAE1",0.79
"FARSB",0.78
"ABCC5",0.79
"ABCB6",0.48
"DNM1L",0.83
"ABCC9",0.63
"ABCF2",0.82
"NR1H3",0.74
"COX17",0.64
"VDAC1P2",0.11
"SCAMP2",0.85
"SCAMP3",0.63
"IL18BP",0.39
"RWDD2B",0.81
"MUC12",0.58
"DPP3",0.81
"SNUPN",0.64
"HUWE1",0.72
"PTPRU",0.57
"TSPAN32",0.6
"TSSC4",0.48
"ATP9A",0.55
"PDCD7",0.59
"GPC6",0.6
"USH1C",0.53
"PQBP1",0.63
"EDIL3",0.83
"HHLA1",0.26
"COL4A3BP",0.73
"KCNK7",0.47
"UST",0.66
"ARPC5",0.72
"ARPC4",0.52
"ARPC3",0.73
"ARPC1B",0.86
"ACTR3",0.75
"ACTR2",0.67
"TSPAN5",0.81
"TSPAN3",0.81
"TSPAN2",0.64
"NUBP2",0.56
"TSFM",0.75
"TSPAN1",0.68
"PPIF",0.85
"CTDSP2",0.77
"TRIM10",0.56
"ARPC2",0.66
"SGK2",0.55
"RAD50",0.66
"KIF20A",0.88
"PREB",0.67
"HIPK3",0.47
"FEM1B",0.59
"ENAM",0.56
"ACTR1B",0.62
"ACTR1A",0.76
"ARL4C",0.69
"ARL4A",0.77
"RASGRP1",0.69
"DNAL4",0.41
"ZNF263",0.66
"LRPPRC",0.69
"FRY",0.72
"PDIA6",0.68
"TRAP1",0.81
"OPTN",0.8
"BCAP31",0.66
"NAMPT",0.87
"CELA3A",0.42
"RBM12",0.55
"YAF2",0.68
"ARFRP1",0.45
"TOB1",0.87
"LINC01587",0.41
"AKAP9",0.55
"CLEC3A",0.59
"FAM13A",0.71
"G3BP1",0.82
"SUGP2",0.7
"EBI3",0.48
"ADGRG2",0.48
"MBNL2",0.74
"HNRNPA3P1",0.37
"ABI2",0.85
"CEBPZ",0.72
"PLXNC1",0.56
"TRIM28",0.73
"RASA4",0.46
"AASS",0.63
"PDZK1IP1",0.66
"ATP6AP2",0.64
"FARP1",0.75
"LPAR6",0.59
"LPCAT3",0.54
"WASF2",0.9
"CHST4",0.31
"SLC25A13",0.79
"SLC25A15",0.64
"ZNF197",0.62
"SERF2",0.69
"DHRS9",0.71
"RCL1",0.81
"ZNF256",0.62
"SORBS3",0.58
"CNIH1",0.83
"TENM1",0.44
"RBM7",0.78
"RBM6",0.84
"RBM5",0.69
"LHFPL2",0.8
"LHFP",0.86
"VDAC1P5",0.11
"TNK2",0.67
"ALYREF",0.78
"TXNDC9",0.79
"RNF41",0.62
"TSHZ1",0.84
"ALG3",0.68
"PRMT3",0.57
"PSME3",0.74
"MPHOSPH9",0.84
"MPHOSPH10",0.58
"MPHOSPH6",0.7
"NME6",0.58
"DHRS2",0.67
"CALCRL",0.73
"NUTF2",0.8
"MPZL2",0.82
"TRIM13",0.69
"INADL",0.7
"USPL1",0.68
"EIF1",0.83
"TOPORS",0.69
"FLOT1",0.7
"DDX39A",0.9
"PSMD14",0.8
"SSX3",0.43
"OLIG2",0.46
"PRG4",0.31
"CTDSPL",0.64
"ANGPTL7",0.36
"KLRG1",0.28
"GDF11",0.52
"TRIB1",0.68
"GPA33",0.42
"ZNF443",0.65
"CD96",0.43
"PLIN3",0.64
"MFSD10",0.63
"STX6",0.65
"COQ7",0.6
"NBR2",0.42
"RCAN2",0.75
"MSLN",0.44
"LRRC23",0.58
"LRRC17",0.88
"RASGRP2",0.5
"HNRNPR",0.89
"SLC35B1",0.72
"DCAF7",0.72
"AP3S2",0.68
"MRPS31",0.67
"CALCOCO2",0.69
"KCNMB2",0.46
"GPHN",0.68
"RABEPK",0.7
"TIMM17B",0.59
"SLC17A2",0.33
"HRSP12",0.81
"POP7",0.82
"GLYAT",0.64
"SRRM1",0.58
"SPRY3",0.6
"SPRY1",0.82
"SPRY2",0.64
"STAM2",0.74
"HCG9",0.32
"CNKSR1",0.5
"ABCC4",0.74
"DENND4A",0.62
"IGSF6",0.37
"SF3B4",0.71
"CDK2AP2",0.69
"IRX5",0.74
"RAMP2",0.51
"RAMP1",0.48
"RAMP3",0.61
"ZMPSTE24",0.83
"AKAP8",0.62
"FSTL3",0.68
"STUB1",0.85
"STAG1",0.83
"NET1",0.66
"UBE4B",0.61
"EFS",0.69
"PRSS16",0.72
"SIGMAR1",0.67
"DSCR4",0.39
"BET1",0.69
"CWC27",0.84
"SAP18",0.73
"SMNDC1",0.83
"BCAS2",0.67
"RGS19",0.6
"LILRB2",0.45
"EIF1B",0.67
"SPEG",0.72
"SF3A1",0.76
"TRAIP",0.71
"DNAJA2",0.84
"BCKDK",0.69
"MAEA",0.73
"APC2",0.58
"PAK4",0.66
"MARCH6",0.75
"KATNB1",0.74
"DLEU1",0.5
"SNAPC5",0.75
"APBB3",0.45
"ZNF267",0.54
"CCNO",0.56
"DSCR3",0.78
"TCIRG1",0.72
"RTN3",0.83
"LANCL1",0.69
"NMUR1",0.25
"B3GALT5",0.31
"TNIP1",0.67
"LAMC3",0.58
"IKZF1",0.63
"CRISP3",0.28
"SMYD5",0.53
"KLHL41",0.6
"RRAGB",0.52
"SIRPB1",0.42
"AKR1A1",0.73
"EMC8",0.82
"TMEM5",0.61
"CNPY2",0.69
"B3GNT3",0.6
"CLEC4M",0.6
"TLR6",0.31
"MRVI1",0.66
"PCGF3",0.78
"HIST1H4PS1",0.4
"HIST1H2APS5",0.57
"TFG",0.58
"PKDREJ",0.26
"CCL26",0.6
"TRDN",0.61
"TRIM22",0.63
"ABCA7",0.4
"ABCA10",0.29
"ABCA9",0.66
"ABCA8",0.77
"WARS2",0.69
"HMGB1P5",0.11
"HMGB1P4",0.11
"HMGB1P3",0.11
"HMGB1P1",0.11
"NPM3",0.59
"NPM2",0.53
"HMG20B",0.58
"HMG20A",0.64
"KLF2",0.7
"MICU1",0.76
"CACNG3",0.32
"CACNG2",0.33
"CITED2",0.86
"SEMA3A",0.8
"TUBA1B",0.78
"IRF9",0.76
"BPNT1",0.69
"TUBB3",0.73
"TUBB4A",0.61
"TUBB4B",0.8
"BTN3A3",0.7
"BTN2A2",0.49
"SYCP2",0.57
"SCML2",0.43
"CEPT1",0.43
"CORO2B",0.57
"NOD1",0.72
"ANAPC10",0.78
"PRG3",0.33
"DLC1",0.74
"ATP8A1",0.66
"NDRG1",0.85
"MYL9",0.8
"GNB2L1",0.81
"PEMT",0.76
"PIAS3",0.54
"ST3GAL6",0.72
"NDC80",0.93
"CPQ",0.78
"WFDC2",0.62
"SPAG11B",0.32
"MYCNOS",0.4
"BASP1",0.71
"IFITM3",0.83
"RAPGEF3",0.58
"NSA2",0.72
"YAP1",0.87
"SNAI1P1",0.51
"SPON2",0.53
"SPON1",0.74
"PRMT5",0.83
"TESK2",0.59
"CD2BP2",0.72
"UBAC1",0.64
"CDIPT",0.64
"PGRMC2",0.75
"ARIH2",0.87
"TUBGCP3",0.71
"SEC24B",0.63
"CFDP1",0.76
"TMEM147",0.8
"RBM14",0.78
"LYPLA1",0.79
"CDC42EP2",0.49
"EMG1",0.69
"IFI30",0.81
"C1D",0.82
"OLFM1",0.74
"TIMM17A",0.81
"N4BP2L2",0.77
"ZER1",0.75
"MCRS1",0.69
"LRRN2",0.52
"FAM3C",0.76
"ACAA2",0.61
"PPIE",0.68
"VAV3",0.81
"TOMM40",0.79
"TAB1",0.57
"ECI2",0.74
"HAX1",0.76
"GPNMB",0.68
"BAIAP2",0.64
"MAD2L2",0.77
"TACC3",0.89
"MERTK",0.78
"CLEC10A",0.57
"SLC30A9",0.79
"PIBF1",0.52
"PPIH",0.7
"COG5",0.74
"ZNHIT1",0.63
"FST",0.81
"TIMM44",0.77
"PFDN6",0.75
"ZBTB18",0.65
"HMGN4",0.67
"TADA3",0.52
"TRIM38",0.58
"ATP5H",0.69
"UBE2E3",0.75
"SLC25A17",0.63
"SLC9A6",0.47
"EIF3M",0.78
"HOXB13",0.7
"NXF1",0.71
"SEC23B",0.67
"SEC23A",0.67
"C1orf61",0.72
"CAP2",0.6
"CAP1",0.76
"CREB3",0.64
"LRRC41",0.72
"VTI1B",0.68
"CRTAP",0.88
"SYNCRIP",0.85
"VAT1",0.73
"STK25",0.71
"ENOX2",0.75
"UNC13B",0.79
"CARM1",0.64
"NCOA2",0.58
"SEMA6C",0.38
"SEMA6B",0.5
"SEMA4F",0.8
"SEMA4D",0.73
"SEMA4B",0.65
"SEMA3C",0.79
"APPBP2",0.65
"MYBBP1A",0.71
"FBLN5",0.66
"FBXW10",0.5
"CIB2",0.61
"CIB1",0.76
"ZNF211",0.61
"DDX17",0.56
"DEAF1",0.75
"CHERP",0.64
"KAT5",0.59
"HYOU1",0.73
"IPO8",0.87
"IPO7",0.75
"NOP56",0.87
"NEBL",0.81
"PITRM1",0.51
"ATG7",0.68
"SSSCA1",0.6
"RNASEH2A",0.82
"P3H3",0.44
"UBD",0.55
"BATF",0.56
"GLRX3",0.78
"DCTN2",0.64
"ANP32B",0.86
"LAMTOR5",0.79
"PROCR",0.78
"TM9SF1",0.71
"PRDX4",0.8
"ARL6IP5",0.84
"AGR2",0.73
"ARPC1A",0.7
"HTATIP2",0.82
"AGPAT1",0.66
"AGPAT2",0.71
"RPP30",0.72
"RPP38",0.67
"SPTLC1",0.59
"SLC35A1",0.71
"SLC19A2",0.69
"IFI44",0.53
"OLFM4",0.39
"CXCL13",0.57
"ARFGEF2",0.87
"ARFGEF1",0.68
"AKAP3",0.44
"RABAC1",0.68
"SLC34A2",0.46
"SLU7",0.91
"DPYSL4",0.47
"SIVA1",0.75
"MRPL28",0.6
"CCT7",0.86
"CCT4",0.8
"CCT2",0.78
"NPC2",0.78
"GNLY",0.54
"TACC2",0.75
"SORBS1",0.81
"IFITM2",0.88
"COLEC10",0.25
"POMT1",0.5
"MAB21L2",0.33
"TXNRD2",0.47
"MTHFS",0.52
"DRAP1",0.62
"SCGN",0.42
"DNPH1",0.79
"SMC2",0.87
"PRPF8",0.83
"ERN2",0.64
"TRAPPC2B",0.44
"AHSA1",0.81
"SLCO1B1",0.35
"USP16",0.86
"CDC42EP3",0.62
"SH2B2",0.44
"PAIP1",0.68
"PAICS",0.94
"TBL3",0.49
"MXD4",0.71
"P3H4",0.59
"ST6GALNAC2",0.78
"PDLIM5",0.83
"TRIM3",0.62
"ERLIN1",0.75
"HEXIM1",0.73
"SPAG5",0.93
"RBCK1",0.66
"STAMBP",0.76
"TGOLN2",0.71
"ARID3B",0.62
"POLR3F",0.47
"POLR3G",0.8
"POLR3C",0.62
"IVNS1ABP",0.74
"TRIM16",0.72
"MYL12A",0.5
"TXNIP",0.77
"TAF6L",0.73
"PDPN",0.71
"POSTN",0.84
"ATP5L",0.79
"RASL10A",0.43
"GAS2L1",0.73
"RAD51AP1",0.78
"RGS14",0.64
"LEFTY1",0.41
"SPHAR",0.62
"HHCM",0.42
"EXOC5",0.87
"NPRL2",0.59
"IGF2BP1",0.75
"IGF2BP3",0.8
"IGF2BP2",0.82
"CAMKK2",0.67
"SCGB1D2",0.3
"SCGB1D1",0.3
"PRELID3A",0.43
"MTX2",0.64
"YKT6",0.76
"SPINT2",0.65
"PMVK",0.66
"DMRT2",0.5
"KHDRBS3",0.83
"KHDRBS1",0.84
"CELF1",0.71
"CELF2",0.85
"LBX1",0.39
"KLF1",0.45
"CXCR6",0.49
"CTCF",0.69
"C6orf10",0.24
"CD226",0.4
"FARS2",0.61
"CGRRF1",0.71
"CGREF1",0.51
"RRAGA",0.7
"DCTN6",0.61
"GNA13",0.83
"TNFSF13B",0.66
"CSPG5",0.65
"AVIL",0.71
"B3GNT2",0.63
"GNB5",0.58
"EBP",0.81
"DLL3",0.55
"CLDN16",0.33
"PNMA2",0.57
"FUT9",0.48
"GMEB1",0.45
"RRH",0.23
"CCT6B",0.57
"CCT8",0.75
"CNPY3",0.68
"CORIN",0.46
"FAM189B",0.55
"USP39",0.67
"POLD3",0.8
"CERS1",0.61
"TBR1",0.43
"AP4B1",0.67
"NRG3",0.3
"UGT2B11",0.37
"POLQ",0.58
"SLC12A7",0.54
"MGEA5",0.87
"NFAT5",0.85
"NUDC",0.84
"PTGES3",0.82
"YME1L1",0.82
"TCFL5",0.74
"PLK4",0.91
"STAG3",0.39
"STAG2",0.63
"SIX2",0.54
"RFPL3S",0.23
"RFPL3",0.47
"RFPL2",0.4
"RFPL1S",0.29
"RBBP9",0.77
"RAI2",0.59
"RAI1",0.65
"PTTG2",0.33
"PHTF1",0.76
"MAP3K2",0.66
"MASP2",0.34
"KIF1C",0.73
"GRAP",0.55
"CHL1",0.49
"CAPN9",0.67
"GIPC1",0.66
"TRAF3IP2",0.61
"PLAC1",0.5
"NUP50",0.82
"NES",0.66
"KDM5B",0.82
"TOB2",0.74
"HBS1L",0.58
"AHCYL1",0.53
"PLK2",0.82
"ZMYND11",0.65
"SRSF10",0.84
"ZBTB6",0.64
"POP4",0.74
"ARPP19",0.7
"ARPP21",0.53
"ZNF271P",0.71
"ZNF234",0.37
"ZNF266",0.49
"ZNF274",0.8
"NEK6",0.7
"WDR4",0.82
"SLC17A3",0.31
"NCKAP1",0.75
"IQGAP2",0.8
"VAMP5",0.67
"ZNF273",0.6
"ZNF460",0.57
"ZNF268",0.49
"MTHFD2",0.88
"OR5I1",0.32
"RPP40",0.89
"CYSLTR1",0.43
"SEPT9",0.72
"SEC24A",0.73
"CCR9",0.44
"GJB6",0.79
"SDCCAG8",0.81
"SDCCAG3",0.61
"HSPH1",0.84
"STARD10",0.8
"WASF3",0.69
"NOXA1",0.53
"UTP14A",0.75
"CPLX2",0.59
"CPLX1",0.65
"SPINT3",0.34
"FRS3",0.38
"FRS2",0.61
"OR7E14P",0.12
"OR7E13P",0.13
"OR7E12P",0.44
"DIAPH2-AS1",0.36
"NEU3",0.32
"FAXDC2",0.62
"FAM114A2",0.79
"NPM1P13",0.1
"NPM1P12",0.27
"ZNF275",0.71
"ALDH1L1",0.62
"FTCD",0.66
"PPP1R17",0.35
"TUBGCP2",0.6
"CLPX",0.79
"PDE10A",0.6
"SRCAP",0.67
"PPP1R13L",0.78
"CD3EAP",0.44
"CCL27",0.58
"HPSE",0.7
"RUVBL2",0.83
"PGRMC1",0.76
"CYP46A1",0.38
"LILRB1",0.57
"SLC26A1",0.32
"ADAM28",0.49
"SLC22A7",0.69
"ARID5A",0.55
"HCP5",0.58
"TSPAN9",0.56
"USP20",0.42
"USP19",0.71
"HCST",0.63
"CD300C",0.37
"ME3",0.77
"NMU",0.86
"FGL2",0.68
"EDDM3A",0.44
"CFHR4",0.35
"CFHR3",0.35
"SMR3B",0.32
"ACTL7B",0.31
"ACTL7A",0.27
"C1QL1",0.46
"MRPS30",0.67
"WDR3",0.76
"NPFFR2",0.5
"PROKR1",0.56
"GPR83",0.48
"RAB10",0.87
"PPARGC1A",0.42
"MALT1",0.68
"MMP24",0.3
"LYVE1",0.38
"PPBPP2",0.28
"OCLM",0.22
"YIF1A",0.78
"CPSF4",0.72
"JTB",0.88
"RUNDC3A",0.43
"DHRS4",0.48
"BRD8",0.74
"MTMR11",0.61
"BLCAP",0.75
"MAN1A2",0.72
"TRAFD1",0.59
"TXNL4A",0.66
"PNPLA6",0.58
"SUGT1",0.89
"UTS2",0.38
"GADD45G",0.64
"EDAR",0.4
"PAPOLA",0.92
"TCERG1",0.61
"MAGED2",0.76
"BTNL3",0.31
"EHMT2",0.65
"COPS8",0.74
"RNPS1",0.88
"FASTK",0.62
"SUB1",0.84
"SMPDL3A",0.52
"DBF4",0.9
"SPIN1",0.84
"RALBP1",0.66
"SRSF8",0.82
"APOBEC2",0.44
"MORF4L1",0.83
"MORF4",0.48
"PRDX3",0.74
"GPR75",0.3
"EHD1",0.79
"AFG3L2",0.77
"POP1",0.73
"UGT2A1",0.57
"PRSS21",0.4
"MSL3",0.78
"C11orf58",0.77
"KDELR1",0.64
"SF3A3",0.71
"AP3M2",0.7
"STARD3",0.54
"HNRNPA0",0.53
"BTG3",0.76
"CBX1",0.9
"SEC61B",0.71
"TOMM34",0.76
"PDIA5",0.85
"SERINC3",0.74
"OS9",0.6
"PNRC1",0.84
"TMED2",0.91
"LMAN2",0.66
"ERP29",0.68
"MLLT11",0.67
"STIP1",0.72
"IFI44L",0.49
"ACOT2",0.57
"RAB40B",0.7
"EBNA1BP2",0.82
"CKAP4",0.81
"YWHAQ",0.82
"TMED10",0.78
"ASCC3",0.8
"ADIRF",0.8
"UQCR11",0.83
"CLP1",0.66
"FERMT2",0.89
"COPS6",0.8
"RAB32",0.85
"MAPRE2",0.72
"CCNI",0.73
"KCNQ1OT1",0.71
"GCN1",0.71
"COPS5",0.83
"METAP2",0.79
"IMMT",0.75
"LILRB5",0.35
"SLC38A3",0.4
"SF3B2",0.66
"SDS",0.5
"ILVBL",0.6
"SLC27A5",0.75
"SLC27A4",0.77
"SLC27A3",0.53
"SLC27A2",0.6
"KIF2C",0.92
"SPINK5",0.74
"LILRB4",0.42
"CCDC85B",0.7
"IL24",0.36
"GLIPR1",0.8
"TLK2",0.77
"KLK11",0.73
"TMSB15A",0.77
"KDELR2",0.78
"KDELR3",0.78
"ATF7",0.91
"SNRNP27",0.7
"TMED1",0.44
"LIAS",0.51
"IFT27",0.77
"RAB35",0.73
"TDRKH",0.63
"VAX1",0.21
"LILRA1",0.43
"LILRB3",0.57
"LILRA3",0.22
"LILRA2",0.52
"RBPMS",0.81
"RAB31",0.82
"ADAP1",0.67
"DSTN",0.83
"RIPK3",0.52
"GTF2A1L",0.65
"STON1",0.42
"SMA4",0.42
"PIM2",0.63
"B4GAT1",0.75
"SMA5",0.32
"MID2",0.51
"PAPD7",0.67
"UPK1A",0.51
"SLC35D2",0.75
"ADRM1",0.74
"NUS1P3",0.56
"NUDT21",0.89
"CPSF6",0.86
"OGFR",0.46
"ZPBP",0.44
"DDX52",0.68
"ABHD2",0.77
"WWP1",0.77
"WWP2",0.71
"LECT1",0.4
"DUS4L",0.57
"SOX30",0.4
"CNTRL",0.73
"UBE2C",0.94
"SNRNP35",0.44
"C10orf10",0.74
"CYB561D2",0.71
"RAPGEF4",0.51
"TMEM115",0.6
"DUSP14",0.75
"TOPBP1",0.84
"TRIM31",0.51
"STMN2",0.7
"TPPP",0.52
"HSF2BP",0.55
"TRIOBP",0.77
"RER1",0.73
"DNAJB4",0.78
"KERA",0.32
"ESM1",0.3
"DIDO1",0.75
"ADAM30",0.45
"ADAM29",0.4
"WDR5",0.79
"C9orf9",0.49
"ADAMTS13",0.49
"CACFD1",0.63
"ADAMTS8",0.41
"ADAMTS5",0.79
"NUPL2",0.64
"PRSS23",0.86
"PTPN21",0.71
"HNRNPUL1",0.63
"ATE1",0.71
"RPP14",0.74
"KRR1",0.72
"KATNA1",0.57
"PRDM7",0.57
"PRDM5",0.35
"PRDM4",0.52
"HIBADH",0.86
"CIT",0.66
"FGFR1OP",0.64
"EMILIN1",0.58
"BTN3A2",0.54
"BTN3A1",0.55
"BTN2A1",0.75
"PTPRT",0.68
"RCAN3",0.72
"FAF1",0.85
"CD160",0.24
"KIF3A",0.8
"POLR3A",0.81
"CLASRP",0.57
"ZWINT",0.9
"CAPN11",0.34
"CAPN10",0.4
"KPTN",0.5
"CDC42EP1",0.66
"SLC7A9",0.28
"PWP1",0.72
"TBC1D8",0.37
"CDC37",0.72
"IL1RAPL1",0.55
"PKIG",0.68
"KAT7",0.86
"DMC1",0.52
"PLA2G16",0.78
"GLMN",0.77
"HHLA3",0.49
"HHLA2",0.54
"BVES",0.66
"CORO1A",0.58
"WDR45",0.77
"FICD",0.52
"AP4S1",0.8
"LDB3",0.74
"PTP4A3",0.6
"LSM6",0.67
"RABL2B",0.52
"RABL2A",0.39
"ERLIN2",0.68
"C14orf1",0.65
"NUDT6",0.7
"NUDT4",0.71
"NUDT5",0.83
"NUDT3",0.7
"SOX21",0.34
"FSTL1",0.77
"PSIP1",0.88
"WDHD1",0.9
"FAM107A",0.74
"STRAP",0.75
"INSL6",0.36
"ADAMTS7",0.57
"ADAMTS6",0.6
"BAZ2A",0.55
"BAZ1A",0.73
"LZTS1",0.47
"ZNF277",0.66
"WDR6",0.83
"TREH",0.31
"SLC2A6",0.45
"MAP4K5",0.73
"MAP4K1",0.65
"INMT",0.5
"RASSF1",0.75
"PKP3",0.79
"NISCH",0.71
"CELF3",0.54
"CEP250",0.66
"PTENP1",0.43
"WBP4",0.64
"ABCB8",0.6
"SEC23IP",0.64
"WIF1",0.47
"SUPT16H",0.9
"ANXA10",0.38
"CHEK2",0.83
"POLI",0.81
"KLK8",0.47
"FZD10",0.44
"PROSC",0.78
"IRAK3",0.59
"AKAP13",0.69
"AKAP11",0.75
"AKAP10",0.73
"AKAP2",0.27
"DDX20",0.81
"TREX2",0.21
"DUSP10",0.74
"MRPL3",0.9
"MST1L",0.53
"RPL35",0.97
"GALNT6",0.79
"GALNT5",0.77
"RASSF8",0.68
"PRAF2",0.69
"SEC63",0.68
"POLG2",0.58
"HPS5",0.63
"PDCD10",0.78
"RNF139",0.53
"RNF24",0.55
"CA5B",0.5
"PADI2",0.44
"PMF1",0.68
"ZHX1",0.78
"GPR176",0.55
"NXPH4",0.4
"NXPH3",0.55
